CustomerID,Date,Region,Product,Category,Quantity,UnitPrice,Sales
C001,1/5/2026,Western,Laptop,Electronics,2,850,1700
C002,1/8/2026,Central,Monitor,Electronics,3,220,660
C003,1/12/2026,Southern,Office Chair,Furniture,4,150,600
C004,1/15/2026,Western,Keyboard,Electronics,10,45,450
C005,1/20/2026,Northern,Desk,Furniture,2,300,600
C006,2/2/2026,Central,Laptop,Electronics,1,900,900
C007,2/7/2026,Western,Mouse,Electronics,8,25,200
C008,2/11/2026,Southern,Office Chair,Furniture,3,175,525
C009,2/18/2026,Western,Monitor,Electronics,5,210,1050
C010,2/25/2026,Northern,Desk,Furniture,1,320,320
C011,3/3/2026,Central,Keyboard,Electronics,12,40,480
C012,3/9/2026,Western,Laptop,Electronics,2,875,1750
C013,3/14/2026,Southern,Mouse,Electronics,15,22,330
C014,3/20/2026,Central,Office Chair,Furniture,2,160,320
C015,3/27/2026,Western,Desk,Furniture,3,290,870
